movie_name,year,time,rating,metascore,votes,gross,description,Director,Stars,Image URLs
"2,399. X+Y (2014)","12A | 111 min | Drama, Romance",7.1,Rate,65 Metascore,A socially awkward teenage maths prodigy finds new confidence and new friendships when he lands a spot on the British squad at the International Mathematics Olympiad.,"Director: Morgan Matthews | Stars: Asa Butterfield, Rafe Spall, Sally Hawkins, Eddie Marsan","Votes: 30,020 | Gross: $0.14M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,400. Just Like the Son (2006)",PG-13 | 86 min | Drama,6.7,Rate,A petty thief's mentoring of an apparent orphan takes a profound turn when he kidnaps the boy from a foster home and drives him cross-country to his sister's house in Texas.,"Director: Morgan J. Freeman | Stars: Mark Webber, Antonio Ortiz, Brendan Sexton III, Rosie Perez","Votes: 1,179",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,401. Disengagement (2007)",115 min | Drama,5.9,Rate,"A political drama centered around Israel's pullout from the occupied Gaza strip, in which a French woman of Israeli origin comes to the Gaza Strip to find her long ago abandoned daughter.","Director: Amos Gitai | Stars: Juliette Binoche, Liron Levo, Jeanne Moreau, Barbara Hendricks",Votes: 818,,,,"https://m.media-amazon.com/images/M/MV5BMTY0MTg0ODc3OF5BMl5BanBnXkFtZTgwNjEzNzY0MTE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"2,402. Framily (2010)",96 min | Drama,6.1,Rate,"In an effort to quick-fix their respective relationship troubles, six 30-something friends decide to form a ""Framily"". After Ethan inherits his Fathers big old house outside San Francisco ... See full summary »","Director: Joachim Hedén | Stars: Richard Gunn, Jennifer Christopher, Jennifer O'Kain, Benny Harris",Votes: 133,,,,"https://m.media-amazon.com/images/M/MV5BMTQwMDU5NDQ5MV5BMl5BanBnXkFtZTcwNzA0NTg4Mw@@._V1_UY209_CR3,0,140,209_AL_.jpg"
"2,403. Unexpected (2015)","15 | 90 min | Comedy, Drama",5.8,Rate,65 Metascore,An inner-city high school teacher discovers she is pregnant at the same time as one of her most promising students and the two develop an unlikely friendship while struggling to navigate their unexpected pregnancies.,"Director: Kris Rey | Stars: Cobie Smulders, Anders Holm, Gail Bean, Elizabeth McGovern","Votes: 3,228",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,404. Tammy (2014)","15 | 97 min | Comedy, Romance",4.9,Rate,39 Metascore,"After getting fired and finding out that her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother.","Director: Ben Falcone | Stars: Melissa McCarthy, Susan Sarandon, Kathy Bates, Allison Janney","Votes: 54,109 | Gross: $84.53M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,405. Gore Vidal: The United States of Amnesia (2013)","83 min | Documentary, Biography, History",7.7,Rate,72 Metascore,"This is an unashamedly opinionated film. In Gore Vidal's America, the political coup has already happened. The right have triumphed and the human values of the liberals have been consigned ... See full summary »","Director: Nicholas D. Wrathall | Stars: Gore Vidal, Howard Auster, James Best, Karen Black","Votes: 1,300 | Gross: $0.13M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,406. Wigstock: The Movie (1995)",R | 85 min | Documentary,6.9,Rate,"Documentary/Concert film covering the annual Drag festival in New York City. Highlights include a performance by drag diva, Ru Paul, and the infamous Lypsinka.","Director: Barry Shils | Stars: RuPaul, John Epperson, Debbie Harry, Alexis Arquette",Votes: 708 | Gross: $0.69M,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,407. Heathers (1988)","18 | 103 min | Comedy, Crime",7.2,Rate,72 Metascore,"At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count.","Director: Michael Lehmann | Stars: Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk","Votes: 112,914 | Gross: $1.11M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,408. The Duke of Burgundy (2014)","18 | 104 min | Drama, Romance",6.5,Rate,87 Metascore,A woman who studies butterflies and moths tests the limits of her relationship with her lesbian lover.,"Director: Peter Strickland | Stars: Sidse Babett Knudsen, Monica Swinn, Chiara D'Anna, Kata Bartsch","Votes: 14,068 | Gross: $0.03M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,409. Ever (2014)","97 min | Drama, Romance",6.9,Rate,"While struggling to cope with the death of her boyfriend, a young woman begins to form romantic feelings for her new supportive female friend.","Director: Josh Beck | Stars: Wendy McColm, Josh Beck, Christina Elizabeth Smith, Gale Netherly",Votes: 180,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
