movie_name,year,time,rating,metascore,votes,gross,description,Director,Stars,Image URLs
1. Spendensucht (2008),Short,6.9,Rate,Add a Plot,"Director: Lutz Heineking | Stars: Jasin Challah, Esther Roling",Votes: 7,,,,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png
2. Old Men in New Cars: In China They Eat Dogs II (2002),"95 min | Action, Comedy, Crime",6.7,Rate,"Fresh out of a Danish prison, Harald bosses his old gang around, into visiting his hospitalized foster dad, who wants to see his bio son before dying. The son's in a Swedish prison. Then there's a money matter - robbing a bank.","Director: Lasse Spang Olsen | Stars: Kim Bodnia, Torkel Petersson, Tomas Villum Jensen, Nikolaj Lie Kaas","Votes: 9,553",,,,"https://m.media-amazon.com/images/M/MV5BMTY0MDc5NzYxOV5BMl5BanBnXkFtZTcwNjAxODAzMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
3. The Man Who Wouldn't Die (1975),"83 min | Mystery, Thriller",6,Rate,A boat captain in the Caribbean becomes part of a bond theft/murder cover up.,"Director: Robert Arkless | Stars: Dorothy Malone, Keenan Wynn, Aldo Ray, Alex Sheafe",Votes: 71,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
4. Tales from the Crypt: Demon Knight (1995),"18 | 92 min | Action, Fantasy, Horror",6.7,Rate,48 Metascore,High-level demons collect low-level demons as warriors in attempt to obtain a key containing the blood of Christ. The key is guarded by immortal warriors called Demon Knights.,"Director: Ernest R. Dickerson | Stars: Billy Zane, William Sadler, Jada Pinkett Smith, Brenda Bakke","Votes: 25,838 | Gross: $21.09M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
5. De trei ori Bucuresti (1967),96 min | Drama,7,Rate,"A Romanian film from 1968, consisting of three distinct film stories whose action takes place in Bucharest. The three stories are written and made by three different directors.","Directors: Mihai Iacob, Horea Popescu, Ion Popescu-Gopo | Stars: Ioana Casetti, Dana Comnea, Mircea Constantinescu, Ion Dichiseanu",Votes: 50,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
6. Ein Mann geht durch die Wand (1959),"99 min | Comedy, Fantasy, Romance",6.9,Rate,Story of a man who out of frustration discovers that he has the ability to walk through walls.,"Director: Ladislao Vajda | Stars: Heinz Rühmann, Rudolf Vogel, Hubert von Meyerinck, Peter Vogel",Votes: 323,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
7. Once Upon a Scoundrel (1973),99 min | Comedy,5.7,Rate,"Comic genius Zero Mostel hilariously portrays Senor Carlos de Refugio, a wealthy landowner known for his roguish and selfish acts.","Director: George Schaefer | Stars: Zero Mostel, Katy Jurado, A Martinez, Pancho Córdova",Votes: 110,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
8. Im Süden meiner Seele (1996),Rate,Add a Plot,"Director: Friedrich Schuller | Stars: Ion Besoiu, Klara Bölöni, Emilia Dobrin, Ion Gheorghescu",,,,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
9. Extraction (2012),"15 | 89 min | Drama, Sci-Fi",6.4,Rate,"A scientist who has invented a technology to construct virtual realities from people's memories finds himself in a perilous situation, after he reluctantly allows it to be used for a purpose he never imagined.","Director: Nir Paniry | Stars: Sasha Roiz, Jenny Mollen, Dominic Bogart, Richard Riehle","Votes: 12,438",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
10. Tomorrow You're Gone (2012),15 | 93 min | Thriller,3.6,Rate,19 Metascore,"Charlie Rankin, recently released from prison, seeks vengeance for his jail-house mentor William ""The Buddha"" Pettigrew. Along the way, he meets the ethereal, yet streetwise, Florence Jane. They embark on a unlikely road trip, careening towards an unlikely redemption and uncertain resolution.","Director: David Jacobson | Stars: Michelle Monaghan, Willem Dafoe, Stephen Dorff, Robert LaSardo","Votes: 1,810",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
11. Sonja Henie: Queen of the Ice (1995 TV Movie),53 min | Documentary,7.3,Rate,"Narrated by Cliff Robertson The daughter of a fur wholesaler, Sonja Henie received her first pair of ice skates when she was six. Eight years later, she was the Norwegian Skating Champion. ... See full summary »","Director: Edvard Hambro | Stars: Sonja Henie, Michael Kirby, Cesar Romero, Geary Steffin",Votes: 39,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
12. Deranged (2012),"109 min | Drama, Sci-Fi, Thriller",6.3,Rate,"People binge eat and suffer from extreme thirst, which leads them to go crazy for water. They cannot control themselves because they are brainwashed by a parasite.","Director: Jeong-woo Park | Stars: Myung-Min Kim, Moon Jeong-Hee, Dong-wan Kim, Lee Hanee","Votes: 3,092",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
13. A Dangerous Man (1992 TV Movie),"107 min | Adventure, Biography, Drama",6.8,Rate,Lawrence and Feisal go to argue for Arab independence at the 1919 Paris Peace Conference.,"Director: Christopher Menaul | Stars: Ralph Fiennes, Alexander Siddig, Denis Quilley, Nicholas Jones",Votes: 698,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
14. Godzilla vs. Megalon (1973),"12 | 81 min | Action, Adventure, Family",4.8,Rate,"An inventor creates a humanoid robot named Jet Jaguar that is seized by the undersea nation of Seatopia. Using Jet Jaguar as a guide, the Seatopians send Megalon as vengeance for the nuclear tests that have devastated their society.","Directors: Jun Fukuda, Yoshimitsu Banno, Ishirô Honda | Stars: Katsuhiko Sasaki, Hiroyuki Kawase, Yutaka Hayashi, Robert Dunham","Votes: 6,537",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
15. The Poison Tree (2012),15 | 120 min | Drama,5.8,Rate,A haunted woman will go to any lengths necessary to protect her family and the secrets she keeps from them.,"Stars: MyAnna Buring, Matthew Goode, Ophelia Lovibond, Hebe Johnson","Votes: 3,180",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
16. 1600 Penn (2012–2013),22 min | Comedy,5.7,Rate,"President Gilcrest and his trophy wife are living in the White House, with their overachieving daughter sidetracked by pregnancy, a couch potato hopeless son, a genius young son, and an odd middle school girl.","Stars: Josh Gad, Jenna Elfman, Martha MacIsaac, André Holland","Votes: 3,947",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
17. The Impossible (2012),"12A | 114 min | Drama, History, Thriller",7.5,Rate,73 Metascore,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"Director: J.A. Bayona | Stars: Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast","Votes: 236,398 | Gross: $19.02M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
18. Deception (I) (2013),"60 min | Crime, Drama, Mystery",6.6,Rate,"A female detective returns undercover to the wealthy family she grew up in--as the maid's daughter, to solve the murder of the notorious heiress who was once her closest friend.","Stars: Meagan Good, Laz Alonso, Tate Donovan, Wes Brown","Votes: 3,829",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
19. Dredd (2012),"18 | 95 min | Action, Crime, Sci-Fi",7.1,Rate,60 Metascore,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.","Director: Pete Travis | Stars: Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood","Votes: 288,944 | Gross: $13.41M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
20. The Chumscrubber (2005),"15 | 108 min | Comedy, Drama",6.9,Rate,41 Metascore,A darkly satiric story about life crumbling in the midst of a seemingly idyllic suburbia.,"Director: Arie Posin | Stars: Jamie Bell, Allison Janney, Rory Culkin, Glenn Close","Votes: 18,998 | Gross: $0.05M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
21. Upside Down (I) (2012),"12 | 109 min | Drama, Fantasy, Romance",6.3,Rate,45 Metascore,"Adam and Eden fell in love as teens despite the fact that they live on twinned worlds with gravities that pull in opposite directions. Ten years after a forced separation, Adam sets out on a dangerous quest to reconnect with his love.","Director: Juan Solanas | Stars: Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma","Votes: 73,409 | Gross: $0.10M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
22. 13 Steps Down (2012),"45 min | Drama, Thriller",5.9,Rate,"Mix Cellini is obsessed. And not just with the supermodel he's been stalking. He's also endlessly fascinated by the life of Reggie Christie, the infamous serial killer hanged fifty years ago.","Stars: Luke Treadaway, Geraldine James, Elarica Johnson, Gemma Jones","Votes: 2,598",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
23. The Perks of Being a Wallflower (2012),12A | 103 min | Drama,7.9,Rate,67 Metascore,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.","Director: Stephen Chbosky | Stars: Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd","Votes: 537,506 | Gross: $17.74M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
24. Beasts of the Southern Wild (2012),"12A | 93 min | Adventure, Drama, Fantasy",7.2,Rate,86 Metascore,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","Director: Benh Zeitlin | Stars: Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes","Votes: 84,551 | Gross: $12.80M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
25. The Collection (II) (2012),"18 | 82 min | Horror, Thriller",6.1,Rate,38 Metascore,"A man who escapes from the vicious grips of the serial killer known as ""The Collector"" is then forced to help rescue an innocent girl from the killer's booby-trapped lair.","Director: Marcus Dunstan | Stars: Josh Stewart, Emma Fitzpatrick, Christopher McDonald, Randall Archer","Votes: 53,124 | Gross: $12.84M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
26. The Baytown Outlaws (2012),"15 | 98 min | Action, Comedy, Crime",6.3,Rate,33 Metascore,"When three redneck brothers agree to help a woman save her godson from an abusive stepfather, they become targets on the run from an odd cast of characters.","Director: Barry Battles | Stars: Billy Bob Thornton, Eva Longoria, Thomas Brodie-Sangster, Clayne Crawford","Votes: 15,684",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
27. King Kong vs. Godzilla (1963),"X | 97 min | Action, Adventure, Fantasy",5.7,Rate,40 Metascore,A UN reporter broadcasts a report on the appearance of a prehistoric monster that emerges from hibernation while a pharmaceutical company seeks publicity with a monster of their own. (US Version),"Directors: Ishirô Honda, Tom Montgomery | Stars: Tadao Takashima, Kenji Sahara, Yû Fujiki, Michael Keith","Votes: 10,883 | Gross: $2.73M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
28. Ill Manors (2012),"18 | 121 min | Crime, Drama, Music",7.1,Rate,"The lives of four drug dealers, one user, and two prostitutes are explored.","Director: Plan B | Stars: Riz Ahmed, Sliem Ben-Salah, Ed Skrein, Lee Allen","Votes: 11,158",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
29. Mothra vs. Godzilla (1964),"X | 89 min | Adventure, Fantasy, Sci-Fi",6.5,Rate,"Mothra's egg washes ashore and is claimed by greedy entrepreneurs who refuse to return it to her fairies. As Godzilla arises near Nagoya, the people of Infant Island must decide if they are willing to answer Japan's own pleas for help.","Director: Ishirô Honda | Stars: Akira Takarada, Yuriko Hoshi, Hiroshi Koizumi, Yû Fujiki","Votes: 9,653",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
30. The Last Enemy (2008),"15 | 60 min | Adventure, Drama, Mystery",7,Rate,Britain has been transformed into a security state. A mathematical genius's search for the truth about his brother's death catapults him into a conspiracy and a love affair.,"Stars: Benedict Cumberbatch, Anamaria Marinca, Max Beesley, Robert Carlyle","Votes: 2,642",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
31. Gamera: The Giant Monster (1965),"PG | 78 min | Action, Horror, Sci-Fi",5.2,Rate,"From out of the arctic comes a gigantic flying, fire-breathing turtle that sets its sights on destroying Tokyo.","Director: Noriaki Yuasa | Stars: Eiji Funakoshi, Harumi Kiritachi, Junichiro Yamashita, Yoshiro Uchida","Votes: 3,660",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
32. Kon-Tiki (2012),"15 | 118 min | Action, Adventure, Biography",7.1,Rate,62 Metascore,"Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","Directors: Joachim Rønning, Espen Sandberg | Stars: Pål Sverre Hagen, Anders Baasmo, Gustaf Skarsgård, Odd-Magnus Williamson","Votes: 51,259 | Gross: $1.52M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
33. Last Tango in Halifax (2012–2020),"12 | 60 min | Comedy, Drama, Romance",8.4,Rate,"Re-united after 50+ years apart, Celia and Alan are reunited and decide to marry.","Stars: Anne Reid, Derek Jacobi, Sarah Lancashire, Nicola Walker","Votes: 8,399",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
34. His Way (2011 TV Movie),87 min | Documentary,6.8,Rate,"A look at the professional, political and personal life of legendary movie producer Jerry Weintraub featuring interviews with friends, family and colleagues.","Director: Douglas McGrath | Stars: Ellen Barkin, Barbara Bush, George Bush, James Caan",Votes: 432,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
35. My Way (2012),"148 min | Biography, Drama, Music",6.9,Rate,"A biopic of French pop star Claude François, most famous for co-writing the song 'My Way'. Tracing his life from childhood in Egypt through success in France to his untimely death in Paris in 1978.","Director: Florent-Emilio Siri | Stars: Jérémie Renier, Benoît Magimel, Monica Scattini, Sabrina Seyvecou","Votes: 3,126",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
36. Home Alone 3 (1997),"PG | 102 min | Action, Comedy, Crime",4.6,Rate,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.","Director: Raja Gosnell | Stars: Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen","Votes: 123,206 | Gross: $30.88M",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
37. The Host (2006),"15 | 120 min | Drama, Horror, Sci-Fi",7.1,Rate,85 Metascore,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,"Director: Bong Joon Ho | Stars: Song Kang-ho, Byun Hee-Bong, Park Hae-il, Bae Doona","Votes: 129,964 | Gross: $2.20M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
38. Resident Evil: Retribution (2012),"15 | 95 min | Action, Horror, Sci-Fi",5.3,Rate,39 Metascore,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,"Director: Paul W.S. Anderson | Stars: Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer","Votes: 148,014 | Gross: $42.35M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
39. Pitch Perfect (2012),"12A | 112 min | Comedy, Music, Romance",7.1,Rate,66 Metascore,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.","Director: Jason Moore | Stars: Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp","Votes: 324,379 | Gross: $65.00M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
40. Gerry (2002),"15 | 103 min | Adventure, Drama, Mystery",6,Rate,54 Metascore,A friendship between two young men is tested when they go for a hike in a desert and forget to bring any water or food with them.,"Director: Gus Van Sant | Stars: Casey Affleck, Matt Damon","Votes: 19,499 | Gross: $0.24M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
41. Clubbed (2008),"18 | 95 min | Action, Crime, Drama",6.7,Rate,"An underworld drama set in the early 1980s, about a lonely factory worker whose life is transformed when he becomes a nightclub doorman.","Director: Neil Thompson | Stars: Mel Raido, Colin Salmon, Shaun Parkes, Scot Williams","Votes: 3,728",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
42. In Memory of Me (2006),"22 min | Short, Drama",8.2,Rate,"After eight years, a young successful lawyer reluctantly goes back to her small hometown for her best friend's wedding. When the memories of an affair she had with another woman during high school resurface, her present starts to unravel.","Director: Samantha Lavin | Stars: Maryfrances Careccia, Tasha Ames, Marina Benedict, Alberto Zeni",Votes: 71,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
43. Reality Check (2011),"13 min | Short, Comedy",Rate,Justine inexplicably wakes up alone in an industrial storage room. Can she rely on ever-stoned Andie to find the way out of this concrete maze? Only for the right price tag.,"Director: Kelsy Chauvin | Stars: Lauren LoGiudice, Davie-Blue, Tony Mirrcandani, Nnamudi Amobi",,,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
44. Echoes (I) (2009),"12 min | Short, Drama",5.1,Rate,Echoes is a short film about a sex trafficker called Anya who is faced with a moral dilemma when she discovers that a young girl that she is trafficking (from Lithuania to London) is pregnant.,"Director: Rob Brown | Stars: Joanne Froggatt, Cristina Catalina, Aleksandar Mikic, Lara Belmont",Votes: 59,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
45. Skyfall (2012),"12A | 143 min | Action, Adventure, Thriller",7.8,Rate,81 Metascore,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","Director: Sam Mendes | Stars: Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","Votes: 720,258 | Gross: $304.36M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
46. Hitchcock (2012),"12A | 98 min | Biography, Drama, Romance",6.8,Rate,55 Metascore,The relationship between Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959 is explored.,"Director: Sacha Gervasi | Stars: Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston","Votes: 78,443 | Gross: $6.01M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
47. Flight (I) (2012),"15 | 138 min | Drama, Thriller",7.3,Rate,76 Metascore,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","Director: Robert Zemeckis | Stars: Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman","Votes: 370,150 | Gross: $93.77M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
48. One Soul (2012),"11 min | Short, Drama",7.5,Rate,A recently widowed woman finds redemption in a stranger through a chance encounter.,"Director: Gabriel Alicto Chavez | Stars: Christen Briele, Stephanie Marie Delgado, Mannie Ramos Jr.",Votes: 12,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
49. It's Consuming Me (2012),"15 | 4 min | Short, Drama, Romance",6.7,Rate,"I can't move on, I wish I could. But I'm caught in the thought of what could have been, losing my grip on reality.","Director: Kai Stänicke | Stars: Volkmar Leif Gilbert, Alberto Venceslau, Patrick Sonberger, Sena Friemuth",Votes: 187,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
50. Lincoln (2012),"12A | 150 min | Biography, Drama, History",7.3,Rate,87 Metascore,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.","Director: Steven Spielberg | Stars: Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","Votes: 269,024 | Gross: $182.21M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
51. The Imposter (2012),"15 | 99 min | Documentary, Biography, Crime",7.5,Rate,77 Metascore,A documentary centered on a young man in Spain who claims to a grieving Texas family that he is their 16-year-old son who has been missing for 3 years.,"Director: Bart Layton | Stars: Adam O'Brian, Nicholas Barclay, Carey Gibson, Bryan Gibson","Votes: 49,781 | Gross: $0.89M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
52. Lourdes (2009),U | 96 min | Drama,6.9,Rate,71 Metascore,"In order to escape her isolation, wheelchair-bound Christine makes a life changing journey to Lourdes, the iconic site of pilgrimage in the Pyrenees Mountains.","Director: Jessica Hausner | Stars: Sylvie Testud, Léa Seydoux, Bruno Todeschini, Elina Löwensohn","Votes: 3,660 | Gross: $0.01M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
53. The Making of a Lady (2012 TV Movie),95 min | Drama,6.7,Rate,"After losing her employment, Emily accepts a proposal that will give her a secure future. But she soon finds trapped in her new family's deception.","Director: Richard Curson Smith | Stars: Lydia Wilson, Maggie Fox, Sarah Ridgeway, Joanna Lumley","Votes: 1,450",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
54. Offender (2012),"15 | 102 min | Action, Crime, Drama",6,Rate,Justice needs to be served at Britain's most notorious young offenders institute.,"Director: Ron Scalpello | Stars: Joe Cole, English Frank, Kimberley Nixon, Shaun Dooley","Votes: 4,780",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
55. Zero Dark Thirty (2012),"15 | 157 min | Drama, History, Thriller",7.4,Rate,95 Metascore,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","Director: Kathryn Bigelow | Stars: Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong","Votes: 313,985 | Gross: $95.72M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
56. The Hobbit: An Unexpected Journey (2012),"12A | 169 min | Adventure, Fantasy",7.8,Rate,58 Metascore,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","Director: Peter Jackson | Stars: Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis","Votes: 857,092 | Gross: $303.00M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
57. Can't You Re-Tie It (2005),4 min | Short,8.7,Rate,One person's tiny accident is another person's very big deal. Can Anita and Amelia's relationship withstand the pressure?,"Director: Kelsy Chauvin | Stars: Emily A. Burton, Melineh Kurdian, Sarah Matthay",Votes: 10,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
58. Half (I) (2011),"6 min | Short, Romance",7.6,Rate,"Two women go about their lives, and as the parallels between them mount, the more obvious it is how well suited they would be for each other.","Director: Alex Bohs | Stars: Emily Deering, Chloe Howcroft, Melody Snyder",Votes: 31,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"59. Farewell, My Queen (2012)","R | 100 min | Drama, History, Romance",6.2,Rate,67 Metascore,A look at the platonic relationship between Marie Antoinette and one of her female readers during the first days of the French Revolution.,"Director: Benoît Jacquot | Stars: Léa Seydoux, Diane Kruger, Virginie Ledoyen, Noémie Lvovsky","Votes: 9,004 | Gross: $0.07M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
60. Dear Emily (2001),"7 min | Drama, Short",5.8,Rate,"In this short film, a girl named Sara recalls her senior year of high school and the intense crush she had on another girl.","Director: Katherine Brooks | Stars: Nicole Nieth, Katherine Brooks, Natalie Canerday, Alix Koromzay",Votes: 134,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
61. The Dyke and the Pornostar (1994),11 min | Short,7.5,Rate,Add a Plot,"Director: Jacquie Lawrence | Stars: Rebecca Shepherd, Stewart Turnbull",Votes: 15,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
62. Cracked (2013–2014),"60 min | Crime, Drama, Mystery",6.9,Rate,Follows teams of cops and psychiatric professionals who make up the Psych Crimes and Crisis unit.,"Stars: David Sutcliffe, Luisa d'Oliveira, Dayo Ade, Karen LeBlanc","Votes: 1,982",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
63. Anna Karenina (I) (2012),"12A | 129 min | Drama, Romance",6.6,Rate,63 Metascore,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.","Director: Joe Wright | Stars: Keira Knightley, Jude Law, Aaron Taylor-Johnson, Matthew Macfadyen","Votes: 104,878 | Gross: $12.82M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
64. Madagascar 3: Europe's Most Wanted (2012),"PG | 95 min | Animation, Adventure, Comedy",6.8,Rate,60 Metascore,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.","Directors: Eric Darnell, Tom McGrath, Conrad Vernon | Stars: Ben Stiller, Jada Pinkett Smith, Chris Rock, David Schwimmer","Votes: 193,471 | Gross: $216.39M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
65. Jack & Diane (2012),"18 | 105 min | Drama, Horror, Romance",4.5,Rate,45 Metascore,Diane's feelings for Jack -- the girl she met over the summer -- begin to manifest themselves in terrifying ways when she learns that her friend will soon be moving away.,"Director: Bradley Rust Gray | Stars: Riley Keough, Juno Temple, Kylie Minogue, Jackson Ning","Votes: 3,145 | Gross: $0.00M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
66. Young and Wild (2012),"96 min | Comedy, Drama",6,Rate,"Daniela, raised in the bosom of a strict Evangelical family and recently unmasked as a fornicator by her shocked parents, struggles to find her own path to spiritual harmony.","Director: Marialy Rivas | Stars: Alicia Rodríguez, Aline Küppenheim, María Gracia Omegna, Felipe Pinto","Votes: 2,982 | Gross: $0.00M",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"67. Turn Me On, Dammit! (2011)","15 | 76 min | Comedy, Romance",6.3,Rate,70 Metascore,"In Skoddeheimen, Norway, 15-year-old Alma is consumed by her hormones and fantasies that range from sweetly romantic images of Artur, the boyfriend she yearns for, to daydreams about practically everybody she lays eyes on.","Director: Jannicke Systad Jacobsen | Stars: Helene Bergsholm, Malin Bjørhovde, Henriette Steenstrup, Beate Støfring","Votes: 9,628 | Gross: $0.12M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
68. Three Summers (2006),"28 min | Short, Comedy, Drama",6.6,Rate,"Jørgen lives abroad but every summer he comes back to Denmark with his wife. He invites, as usual, his neighbours and their teenager son, Thomas, for dinner at his place. Only, this time, ... See full summary »","Director: Carlos Augusto de Oliveira | Stars: Morten Kirkskov, Simon Munk, Stine Schrøder Jensen, Carsten Bjørnlund",Votes: 292,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
69. Banshee (2013–2016),"18 | 60 min | Action, Crime, Drama",8.4,Rate,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.","Stars: Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison","Votes: 118,795",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
